,0,1,2
83,Both shots. FULL  VACCINATION It's not that bad. Just look away. https://t.co/O2QvM0nqp3,mack1_k,United States
84,On Monday our @SanMarcosCISD will receive a COVID-19 update and one of the information items being presented to the… https://t.co/AYKUG3efmf,VoteJMA,"San Marcos, Texas"
85,"@Richardcloses @HarrisonWFields Here in my state 69% of the population is vaccinated (80% of those eligible).
Curre… https://t.co/PPjIc77wSg",nlchipman,"Brunswick, ME 04011"
86,"@Dre_Dat retired in January.  But at my former government job, they all hoping that religious exemption will help t… https://t.co/1XYZHMhOGS",biggsalty53,"carencro, louisiana"
87,"@VABVOX Yes, on Monday. I’m also getting my first shingles vaccination❤️",StacyV200,Oklahoma
88,@SMacMeans @DailyCaller And that doesn’t include someone who has recovered immunity but chooses not to get the vaccination,BoBromhal,Raleigh NC
89,It’s okay I got my second dose of the covid vaccination &amp; got wasted three hours later 😅🥴 https://t.co/rK1VBEGoFg,JustMariel_,What a drag…..
90,@SamMrSandman @supercharger @sdjoe21 @ChargersWin2021 @james_ebo @chargers @ChargerChatPod You must of missed the c… https://t.co/8EqweokrR7,DGoldflam," Orange County, Ca."
91,“Lightfoot is sticking by her order that all employees report vaccination status by midnight.”,NightRiderTunes,"North Bethesda, MD"
92,@CoquiTalksTrash This story just pissed me off so bad. I am not going to any indoor public events that do not requi… https://t.co/lvbxPQRD6p,scopedbylarry,"Tucson, Arizona, U.S.A."
93,Vaccination requirement for foreign travelers to U.S. begins November 8 https://t.co/lshZkztzyz,jayhawkscm,"Kansas City, Mo"
94,"Should these deaths more accurately be classified as suicides? 

@KFF estimates that about 90,000 deaths from Covid… https://t.co/zsp0CsN5FR",AmandiOnAir,"Miami, FL"
95,@FlaDems @GovRonDeSantis @marcorubio Everyone knows there is a vaccination! Get the shot!,strum_dolores,"Nevada, IA"
96,@POTUS How about fertility? My cycle has been disrupted since vaccination. No one tells you that. Everyone is givin… https://t.co/lVzy5JXkXg,LoCoCoCo2129,"Saint Charles, Illinois"
97,Per the White House Assistant Press Secretary: The US’ new travel policy requiring vaccination for travelers to the… https://t.co/hzgZ4IjeG1,PeterAsaad,"Washington, DC"
98,@dave_chirdon @EmilieFothergi2 @KidCreole3 @OccupyDemocrats Really? Where? So all the hold out non Vaxers would jus… https://t.co/XfLxAzRheE,RitaJLyons1,"Chicago, IL"
99,Just thought about this… how is Shaheen getting the green light to travel with the team? Doesn’t the UK require pro… https://t.co/FLWUizwupY,WasSeminole51,"Virginia, USA"
100,"@tedcruz Hey Ted, what is the vaccination rate in Cancùn??",jsig1107fla,"Bradenton, Fl."
101,@KidCreole3 @OccupyDemocrats HIPPO? As in hippopotamus? Or HIPPA as in the law which protects patient confidentiali… https://t.co/4JFaJxfP78,RitaJLyons1,"Chicago, IL"
102,"I don’t know who needs to hear this, but your vaccination status is not a personality trait.",StevenCrowley,
103,"I don’t go anywhere that requires me to show proof of vaccination. 

And I’ve been loudly opposed to vax passports… https://t.co/zDr0PyvV0G",kylejlclt,Charlotte • Atlanta • St Louis
104,🤞 hopefully I die after getting the vaccination,blueblood414,United States
105,"@KFIAM640 Misleading headline...
How about:
Federal Government Running Out Of Options As Employees Refuse Vaccination",scottd00,"Los Alamitos, CA"
106,Perfectly fine and happy knowing I did the right thing. Vaccine passports don’t exclude anyone- if you wanna be stu… https://t.co/hZpBUEq58t,daltx85,"Dallas, Texas"
107,Glad that it is excluding unvaxxed people. Either they are a highly at risk individual who I would be worried about… https://t.co/srtVc7PnSm,AxeloftheKey,"Rochester, NY"
108,@ScottAdamsSays No because vaccination teaches the body how to fight the virus. Some vaccinated people likely won’t… https://t.co/DAxuJmfLQY,geoffpilkington,Los Angeles
109,@JanessaWaterson Fine. Your use of the word excluded is problematic.  A person who chooses to not take a free vacci… https://t.co/LSRWy6USLN,marytf5,
110,@freemktnc Ivermectin isn’t the vaccination? I’m confused. More kids die from drowning and car accidents than covid… https://t.co/dJABvKlgal,frankgarcia65,charlotte nc
111,"Here are today's walk-up vaccination sites and testing sites.

Preregister for testing sites at… https://t.co/i4r7oE9mpe",dc_ova,"Washington, DC"
